claim_id,policy_id,claim_date,accident_type,weather_condition,injury_involved,claim_amount,claim_report_delay_days,police_report_filed,number_of_previous_claims,fraud_label
39,76,2021-08-26,rear_end,clear,False,3657.87,6,True,0,0
40,76,2021-08-30,side_collision,clear,False,6584.91,2,True,1,0
41,76,2022-01-20,weather_related,storm,False,5080.58,23,True,2,0
42,79,2025-08-14,side_collision,rain,False,4487.45,33,True,0,0
43,81,2022-12-09,rear_end,clear,False,4337.97,4,True,0,0
44,81,2023-01-25,rear_end,rain,False,6524.35,11,True,1,0
45,81,2023-07-18,weather_related,clear,False,3866.11,0,True,2,0
46,82,2023-06-08,rear_end,clear,False,3810.72,4,False,0,0
47,83,2025-01-10,rear_end,rain,False,4836.73,2,True,0,0
48,85,2024-02-05,side_collision,clear,True,12755.17,2,True,0,0
49,85,2024-03-31,side_collision,rain,False,1261.37,10,True,1,0
50,87,2025-03-02,weather_related,snow,True,3675.3,4,True,0,0
51,87,2024-11-19,weather_related,clear,False,3458.93,4,True,1,0
52,89,2023-01-16,weather_related,rain,False,7841.86,7,True,0,0
53,89,2023-08-14,side_collision,rain,False,854.97,76,True,1,0
54,90,2026-02-27,theft,storm,False,4698.93,3,True,0,0
55,90,2026-02-28,weather_related,snow,False,1366.04,6,False,1,0
56,91,2025-10-11,rear_end,storm,False,7432.31,1,False,0,0
57,91,2024-06-13,side_collision,clear,True,35306.74,9,True,1,0
58,92,2022-09-10,single_vehicle,snow,True,7813.29,1,True,0,0
59,92,2023-05-02,side_collision,storm,False,1980.78,3,True,1,0
60,93,2023-04-21,theft,rain,False,5395.31,16,False,0,0
61,99,2022-09-15,weather_related,clear,False,8897.71,13,True,0,0
62,100,2025-12-28,weather_related,rain,True,3866.56,10,False,0,0
63,102,2024-08-05,rear_end,rain,False,14426.96,11,True,0,0
64,104,2025-02-26,rear_end,clear,False,6378.04,6,True,0,0
65,107,2023-06-04,weather_related,rain,False,1857.81,19,True,0,0
66,113,2023-08-27,single_vehicle,snow,False,2466.87,5,True,0,0
67,116,2024-06-24,rear_end,rain,False,529.37,11,True,0,0
68,121,2023-11-22,single_vehicle,clear,False,2177.94,5,True,0,0
69,125,2022-06-07,rear_end,clear,False,89.54,2,True,0,0
70,126,2025-12-20,weather_related,clear,False,4782.63,4,True,0,0
71,126,2025-08-21,single_vehicle,clear,False,6879.88,7,True,1,0
72,127,2023-07-10,weather_related,snow,True,30252.83,3,False,0,0
73,130,2022-01-25,side_collision,storm,False,4147.22,7,True,0,0
74,131,2025-11-29,theft,clear,False,10367.55,1,False,0,0
75,135,2026-01-01,weather_related,clear,False,3588.59,8,True,0,0
76,135,2023-09-04,single_vehicle,clear,False,7239.15,35,True,1,0
77,136,2025-11-30,rear_end,clear,False,5838.0,3,True,0,0
78,139,2025-10-23,side_collision,rain,False,3267.17,13,True,0,0
79,143,2023-06-27,theft,clear,False,803.45,3,True,0,0
80,146,2024-11-29,single_vehicle,clear,False,2671.4,11,True,0,0
81,146,2025-03-04,weather_related,snow,False,1741.16,12,False,1,1
82,150,2023-10-23,weather_related,clear,False,3546.11,19,True,0,0
83,150,2023-06-24,side_collision,clear,False,3853.72,15,True,1,0
84,150,2024-10-05,weather_related,clear,False,4325.84,5,True,2,0
85,151,2021-06-20,rear_end,clear,False,2990.94,9,True,0,0
86,151,2022-03-31,theft,clear,False,2790.72,8,False,1,0
87,156,2026-01-19,theft,clear,False,4894.43,5,True,0,0
88,157,2026-01-13,side_collision,clear,True,11416.0,22,False,0,0
89,157,2025-12-12,side_collision,clear,False,317.25,8,True,1,0
90,157,2025-12-06,weather_related,clear,False,87.82,3,True,2,0
91,157,2026-03-03,side_collision,storm,False,18.48,10,True,3,0
92,159,2026-02-23,theft,clear,False,2036.16,43,False,0,0
93,160,2025-09-29,single_vehicle,clear,False,10457.44,7,True,0,1
94,160,2026-02-07,rear_end,clear,False,1748.41,50,False,1,0
95,160,2025-07-21,rear_end,clear,False,1299.6,17,False,2,0
96,161,2025-10-16,rear_end,clear,False,4454.99,2,True,0,0
97,162,2022-01-13,theft,rain,True,1279.78,20,True,0,0
98,164,2025-07-15,weather_related,clear,False,10777.56,11,False,0,0
99,165,2021-07-22,rear_end,storm,False,655.33,43,False,0,0
100,166,2025-12-01,theft,clear,False,7323.1,6,False,0,0
101,167,2025-10-19,single_vehicle,storm,False,4168.01,2,True,0,0
102,170,2024-08-17,rear_end,clear,False,5238.97,30,False,0,0
103,171,2025-07-11,rear_end,rain,False,8897.46,3,True,0,0
104,171,2023-12-14,single_vehicle,clear,False,1563.42,1,False,1,0
105,172,2025-08-02,side_collision,rain,False,10856.06,15,True,0,0
106,173,2023-12-24,weather_related,storm,False,6507.57,3,True,0,0
107,175,2024-01-18,rear_end,clear,False,2931.77,3,False,0,0
108,176,2023-12-17,theft,clear,True,6276.92,5,True,0,0
109,176,2023-12-01,weather_related,clear,True,18056.17,4,True,1,0
110,176,2023-10-09,weather_related,storm,False,3583.75,11,True,2,0
111,178,2022-05-23,weather_related,rain,False,3476.54,2,False,0,0
112,179,2024-10-10,weather_related,rain,False,6330.26,1,True,0,0
113,181,2026-03-01,rear_end,rain,False,2239.92,3,False,0,0
114,181,2026-02-06,rear_end,rain,False,1986.65,13,True,1,0
115,183,2026-02-22,single_vehicle,storm,False,7038.32,2,True,0,0
116,184,2025-12-22,weather_related,clear,False,800.15,4,False,0,0
117,186,2026-02-02,weather_related,clear,False,3776.67,6,True,0,0
118,189,2021-05-03,rear_end,storm,False,623.09,3,False,0,0
119,190,2022-05-14,side_collision,clear,False,11953.14,10,False,0,0
120,192,2023-10-21,single_vehicle,snow,True,31305.57,7,True,0,0
121,192,2023-02-12,rear_end,clear,True,669.65,2,False,1,0
122,195,2026-02-07,side_collision,rain,False,1092.99,1,True,0,0
123,197,2024-02-22,side_collision,rain,False,1512.5,1,True,0,0
124,198,2024-08-27,single_vehicle,clear,False,4785.71,5,True,0,0
125,200,2022-11-08,single_vehicle,clear,False,4761.83,13,False,0,0
126,201,2022-09-05,theft,clear,False,2366.09,2,True,0,0
127,205,2025-03-23,weather_related,rain,False,1487.09,14,True,0,0
128,208,2025-05-07,weather_related,snow,False,3905.15,7,False,0,0
129,208,2025-10-14,rear_end,rain,False,8893.78,14,True,1,0
130,209,2025-01-01,rear_end,clear,False,7691.56,22,True,0,0
131,211,2023-05-08,weather_related,storm,False,10716.88,2,True,0,0
132,213,2024-07-29,rear_end,clear,False,6279.33,8,False,0,0
133,214,2025-11-19,side_collision,clear,False,2508.5,17,False,0,0
134,215,2023-09-08,rear_end,clear,False,2819.09,3,False,0,0
135,216,2026-02-10,side_collision,clear,False,6892.5,5,True,0,0
136,216,2026-02-10,single_vehicle,rain,False,1790.74,4,True,1,0
137,216,2026-02-23,rear_end,rain,False,5276.46,9,True,2,0
138,217,2024-06-16,single_vehicle,clear,True,8709.35,2,False,0,0
139,218,2022-06-25,side_collision,rain,False,7848.1,19,True,0,0
140,219,2025-03-24,rear_end,clear,True,6624.5,3,True,0,0
141,221,2024-10-08,weather_related,rain,False,3509.9,22,False,0,0
142,221,2025-01-24,single_vehicle,rain,False,1916.86,89,True,1,0
143,228,2022-07-18,single_vehicle,storm,False,2767.05,1,True,0,0
144,228,2022-05-02,weather_related,clear,False,3252.94,8,False,1,0
145,231,2025-07-27,weather_related,storm,True,6595.69,4,True,0,0
146,233,2025-06-11,theft,clear,True,3930.99,1,True,0,0
147,233,2025-01-15,rear_end,snow,False,1400.89,2,False,1,0
148,236,2021-10-03,side_collision,clear,False,2125.42,8,False,0,0
149,237,2023-01-15,side_collision,clear,False,4618.84,1,True,0,0
150,239,2025-08-30,rear_end,clear,False,1520.08,13,True,0,0
151,239,2025-07-25,weather_related,rain,False,9162.13,0,True,1,0
152,239,2025-06-09,weather_related,clear,False,7324.85,30,True,2,0
153,239,2025-05-27,rear_end,clear,False,977.99,15,True,3,0
154,241,2025-10-23,weather_related,clear,False,4542.14,9,True,0,0
155,245,2025-07-10,side_collision,rain,True,9880.54,38,True,0,0
156,247,2025-01-11,weather_related,snow,False,3032.46,0,True,0,0
157,249,2022-09-02,rear_end,storm,False,916.24,6,True,0,0
158,253,2024-08-19,single_vehicle,clear,True,2495.82,6,False,0,0
159,255,2024-03-14,weather_related,clear,False,721.21,10,False,0,0
160,256,2024-03-02,rear_end,rain,False,2936.3,5,True,0,0
161,257,2026-02-24,side_collision,clear,False,10893.4,14,True,0,0
162,257,2026-02-24,weather_related,storm,False,3599.75,26,False,1,0
163,258,2024-11-18,rear_end,rain,True,4833.95,87,True,0,0
164,261,2025-12-06,side_collision,clear,False,2616.89,11,True,0,0
165,263,2025-10-29,weather_related,clear,True,3066.02,1,False,0,0
166,263,2025-10-03,side_collision,clear,True,17456.95,13,True,1,0
167,263,2025-12-18,theft,clear,False,2760.08,5,True,2,0
168,263,2025-12-29,rear_end,clear,False,2165.87,4,True,3,0
169,264,2025-01-13,single_vehicle,rain,False,5827.99,7,True,0,0
170,264,2025-06-23,weather_related,clear,False,2646.09,15,True,1,0
171,265,2026-01-10,single_vehicle,clear,False,2631.78,8,True,0,0
172,265,2024-12-17,side_collision,rain,True,7301.19,18,True,1,0
173,265,2025-02-10,rear_end,clear,False,5608.66,11,True,2,0
174,272,2025-01-15,single_vehicle,rain,False,1388.95,11,True,0,0
175,272,2024-05-14,single_vehicle,clear,False,10803.65,5,False,1,1
176,282,2023-12-16,rear_end,clear,False,4032.66,1,False,0,0
177,283,2025-07-02,weather_related,rain,False,2072.01,10,False,0,0
178,284,2025-01-18,theft,rain,False,3607.78,11,True,0,0
179,284,2024-05-19,weather_related,snow,False,6150.8,3,True,1,0
180,285,2023-04-08,rear_end,rain,False,2288.92,5,True,0,0
181,286,2022-12-16,rear_end,clear,False,10252.47,10,True,0,1
182,287,2025-05-21,rear_end,clear,False,4645.15,9,True,0,0
183,287,2026-02-07,weather_related,clear,True,5253.37,2,False,1,1
184,287,2025-05-26,rear_end,clear,False,2571.08,8,True,2,0
185,293,2023-02-19,rear_end,clear,False,4744.9,6,True,0,0
186,294,2025-10-17,side_collision,clear,False,1369.83,8,True,0,0
187,295,2025-06-28,rear_end,rain,False,6267.34,9,True,0,1
188,297,2022-09-11,side_collision,clear,True,6192.86,3,True,0,0
189,299,2022-03-03,side_collision,rain,False,3174.49,52,False,0,0
190,301,2023-03-27,weather_related,rain,True,14383.8,9,True,0,0
191,301,2025-07-08,weather_related,rain,True,2634.31,9,True,1,0
192,301,2023-09-11,theft,rain,False,1370.82,18,True,2,0
193,304,2023-08-12,weather_related,clear,True,11840.7,31,False,0,0
194,308,2022-03-17,rear_end,clear,False,2898.84,5,True,0,0
195,312,2022-06-21,side_collision,clear,False,5859.88,6,True,0,1
196,314,2024-12-03,weather_related,clear,False,3220.16,13,False,0,0
197,315,2025-06-27,rear_end,rain,False,5087.03,11,True,0,0
198,319,2021-08-13,single_vehicle,snow,False,1461.92,1,True,0,0
199,322,2025-11-09,weather_related,storm,True,21508.7,9,True,0,0
200,322,2025-12-01,weather_related,rain,True,22015.73,3,True,1,0
201,322,2025-11-09,single_vehicle,rain,False,1518.87,4,True,2,0
202,325,2024-12-04,single_vehicle,rain,False,2978.43,9,True,0,0
203,326,2025-11-11,rear_end,clear,False,1182.79,16,False,0,1
204,328,2024-04-28,single_vehicle,clear,False,2903.27,8,True,0,0
205,329,2025-02-12,rear_end,clear,False,1668.99,15,True,0,0
206,329,2024-06-11,rear_end,rain,False,416.18,18,False,1,0
207,330,2025-04-11,single_vehicle,storm,False,1569.85,0,True,0,0
208,330,2025-01-20,single_vehicle,clear,False,849.56,2,True,1,0
209,332,2025-10-20,rear_end,clear,True,8828.02,2,True,0,0
210,333,2023-05-01,rear_end,snow,False,425.74,1,True,0,0
211,335,2024-07-29,rear_end,rain,False,8359.18,2,False,0,0
212,335,2024-03-24,weather_related,storm,False,3071.44,22,True,1,0
213,335,2024-02-08,single_vehicle,snow,False,868.52,4,True,2,0
214,336,2024-08-22,side_collision,rain,False,7792.64,1,False,0,0
215,336,2024-02-20,rear_end,clear,False,6598.3,3,True,1,0
216,338,2025-03-26,rear_end,storm,False,732.9,10,True,0,0
217,340,2026-02-06,rear_end,clear,False,7165.29,21,True,0,0
218,344,2025-01-17,single_vehicle,snow,True,4591.05,4,True,0,0
219,345,2024-03-13,weather_related,rain,False,1438.15,2,True,0,0
220,347,2024-11-05,rear_end,snow,False,7941.72,57,True,0,0
221,348,2025-06-14,theft,rain,False,3947.87,26,False,0,1
222,349,2026-01-03,side_collision,rain,False,1794.32,3,True,0,0
223,350,2023-05-28,weather_related,clear,True,10216.09,37,True,0,0
224,352,2025-11-13,weather_related,clear,False,5270.23,10,True,0,0
225,352,2024-10-13,rear_end,clear,False,715.88,4,False,1,0
226,353,2024-01-31,single_vehicle,snow,False,2087.98,15,True,0,0
227,354,2025-06-09,rear_end,clear,False,2639.11,47,True,0,0
228,358,2023-02-28,theft,storm,False,4631.19,53,True,0,0
229,358,2023-01-09,theft,clear,False,1317.33,25,True,1,0
230,359,2023-03-14,side_collision,clear,True,3855.99,4,True,0,0
231,359,2024-10-11,rear_end,storm,True,3425.14,2,True,1,0
232,360,2022-05-20,side_collision,storm,True,1429.07,2,True,0,0
233,361,2024-03-22,side_collision,clear,True,12576.54,7,True,0,1
234,361,2023-11-03,single_vehicle,rain,False,5116.12,2,True,1,0
235,361,2024-08-19,rear_end,rain,False,1006.52,6,True,2,0
236,362,2024-09-14,weather_related,clear,False,2808.33,7,False,0,0
237,364,2021-10-17,theft,clear,False,6968.03,11,True,0,0
238,365,2023-09-18,weather_related,clear,False,7537.09,25,True,0,0
239,365,2024-04-07,single_vehicle,clear,False,1840.23,7,True,1,0
240,365,2023-08-17,rear_end,clear,True,23051.67,64,True,2,0
241,365,2023-08-06,single_vehicle,rain,False,3848.18,33,False,3,0
242,367,2025-07-24,side_collision,clear,False,2115.03,16,False,0,0
243,368,2024-07-02,side_collision,rain,True,3880.01,5,True,0,0
244,368,2024-11-21,rear_end,rain,False,2920.64,8,True,1,0
245,369,2024-05-07,theft,clear,False,9085.37,7,True,0,0
246,372,2021-12-14,single_vehicle,rain,False,5883.73,1,False,0,0
247,372,2021-06-24,weather_related,clear,False,2923.89,1,True,1,0
248,373,2023-12-21,weather_related,clear,False,10150.48,6,True,0,0
249,374,2022-04-24,side_collision,storm,False,3866.83,3,True,0,0
250,375,2022-10-01,weather_related,storm,False,5239.26,14,True,0,0
251,376,2024-07-30,side_collision,clear,False,484.27,8,True,0,0
252,377,2024-07-15,theft,storm,False,978.0,2,False,0,0
253,377,2025-07-18,single_vehicle,clear,True,2327.71,1,True,1,0
254,378,2026-02-20,side_collision,clear,False,4428.58,8,True,0,0
255,380,2023-09-23,theft,clear,True,11739.87,4,True,0,0
256,380,2024-05-20,rear_end,rain,False,1764.56,22,False,1,0
257,382,2025-10-21,rear_end,clear,False,5339.88,2,False,0,0
258,385,2022-03-15,rear_end,storm,False,5627.94,5,True,0,0
259,387,2025-10-11,theft,rain,True,19028.27,2,False,0,0
260,388,2022-08-21,weather_related,clear,False,8677.0,3,True,0,0
261,388,2022-08-12,theft,rain,False,2249.56,43,True,1,0
262,393,2025-12-05,side_collision,rain,False,3374.1,8,True,0,0
263,399,2025-03-14,single_vehicle,snow,False,3826.55,9,True,0,0
264,400,2024-07-18,single_vehicle,storm,True,15292.29,31,True,0,0
265,403,2025-10-06,weather_related,clear,True,8809.31,24,True,0,0
266,405,2023-07-13,theft,rain,False,2880.34,9,True,0,0
267,405,2023-11-15,weather_related,rain,False,7579.66,6,True,1,0
268,406,2022-04-26,side_collision,rain,False,3758.5,12,True,0,0
269,409,2022-09-29,theft,clear,False,2349.49,5,True,0,0
270,409,2022-04-25,side_collision,rain,False,4984.78,12,True,1,0
271,411,2024-03-31,weather_related,clear,False,4067.62,3,False,0,0
272,417,2021-07-21,side_collision,clear,True,7001.77,2,True,0,0
273,419,2023-08-18,rear_end,storm,False,2747.56,12,True,0,0
274,419,2024-10-20,weather_related,clear,False,1614.06,9,True,1,0
275,423,2022-07-17,weather_related,snow,True,6284.58,2,True,0,0
276,426,2025-11-11,rear_end,storm,False,2021.92,5,False,0,0
277,429,2022-12-29,rear_end,clear,True,6468.0,4,True,0,0
278,433,2022-01-05,theft,rain,False,6479.63,26,False,0,0
279,433,2021-08-16,weather_related,clear,False,3281.67,5,True,1,0
280,434,2026-01-11,weather_related,rain,False,11445.65,5,True,0,0
281,435,2023-04-21,single_vehicle,rain,False,2176.67,6,True,0,0
282,436,2025-01-20,single_vehicle,rain,False,2036.65,7,True,0,0
283,438,2023-11-01,theft,clear,False,2279.33,4,False,0,0
284,441,2025-04-11,weather_related,rain,False,2534.04,9,True,0,0
285,443,2024-11-14,weather_related,rain,False,772.51,5,True,0,0
286,447,2023-06-13,single_vehicle,clear,False,1059.57,10,True,0,0
287,447,2023-06-16,rear_end,storm,False,1712.92,8,False,1,0
288,449,2024-09-24,weather_related,rain,False,396.85,10,True,0,0
289,450,2024-08-18,side_collision,clear,False,527.0,9,False,0,0
290,455,2024-12-31,weather_related,rain,False,1240.68,6,True,0,0
291,457,2023-08-11,theft,rain,True,9123.14,20,False,0,0
292,457,2023-07-25,weather_related,clear,False,5194.41,4,True,1,0
293,457,2023-05-02,single_vehicle,rain,False,5060.65,18,False,2,0
294,457,2022-12-07,single_vehicle,clear,False,2446.98,7,False,3,0
295,460,2024-05-07,weather_related,rain,False,365.53,8,False,0,0
296,463,2024-09-13,theft,rain,False,4446.31,3,False,0,0
297,464,2022-08-13,single_vehicle,rain,False,643.36,3,True,0,0
298,469,2024-11-06,theft,clear,False,7176.76,1,False,0,0
299,469,2024-02-16,rear_end,clear,True,23322.74,9,True,1,1
300,470,2022-07-25,theft,snow,False,3586.98,3,True,0,0
301,475,2022-11-25,weather_related,rain,False,3307.65,7,False,0,0
302,476,2024-09-05,rear_end,clear,False,2307.49,5,True,0,0
303,476,2025-08-21,single_vehicle,clear,False,8089.2,21,False,1,0
304,477,2023-07-18,side_collision,rain,False,4549.23,22,True,0,0
305,477,2023-04-26,weather_related,snow,False,10732.04,5,False,1,1
306,480,2022-11-30,theft,clear,True,861.99,1,True,0,0
307,480,2023-06-08,side_collision,snow,False,1766.53,3,True,1,0
308,484,2025-09-19,side_collision,rain,False,4954.02,2,True,0,0
309,487,2025-10-16,side_collision,clear,False,1950.41,13,True,0,0
310,489,2024-12-21,side_collision,clear,False,1399.62,19,False,0,0
311,489,2024-08-07,single_vehicle,rain,True,6384.45,8,True,1,0
312,490,2026-02-11,weather_related,rain,False,2024.0,5,False,0,0
313,490,2026-01-26,side_collision,rain,False,561.88,41,False,1,0
314,491,2025-08-21,weather_related,storm,False,11400.91,4,False,0,0
315,492,2023-12-31,rear_end,storm,False,545.65,17,True,0,0
316,492,2022-12-29,rear_end,clear,False,4067.79,1,True,1,0
317,493,2026-01-23,single_vehicle,clear,False,3841.63,7,True,0,0
318,496,2026-02-28,rear_end,rain,False,13312.68,18,True,0,0
319,498,2026-02-13,rear_end,clear,False,804.99,3,True,0,0
320,498,2025-11-17,theft,rain,False,2939.69,4,True,1,0
321,500,2025-12-19,weather_related,rain,True,3711.13,2,False,0,1
322,501,2025-09-07,single_vehicle,clear,False,1185.89,5,True,0,0
323,504,2022-09-11,single_vehicle,rain,False,4214.97,14,False,0,0
324,505,2026-01-12,rear_end,snow,False,9200.33,2,False,0,0
325,505,2025-09-16,single_vehicle,rain,False,2688.73,4,True,1,0
326,506,2023-09-12,weather_related,clear,False,4953.17,7,True,0,0
327,508,2025-12-30,weather_related,clear,False,939.92,4,False,0,0
328,508,2026-01-09,side_collision,rain,False,1224.71,1,False,1,0
329,509,2024-12-11,side_collision,storm,False,4606.82,19,False,0,0
330,510,2026-02-15,single_vehicle,clear,False,5611.66,52,False,0,0
331,514,2026-02-25,theft,clear,False,3424.82,2,True,0,0
332,514,2025-06-20,weather_related,clear,False,2472.66,10,True,1,0
333,517,2023-03-12,rear_end,rain,True,5099.21,7,True,0,0
334,518,2021-10-09,side_collision,clear,True,5441.71,3,True,0,0
335,522,2021-07-27,side_collision,clear,False,1588.71,58,True,0,0
336,523,2022-02-17,weather_related,clear,False,2566.97,6,True,0,0
337,529,2024-07-29,weather_related,clear,False,2641.11,8,True,0,0
338,529,2024-03-26,single_vehicle,storm,False,988.97,19,True,1,0
339,531,2022-02-26,rear_end,clear,False,7384.11,5,False,0,0
340,533,2026-02-13,side_collision,storm,True,11076.84,6,True,0,0
341,533,2025-12-22,weather_related,storm,False,2581.76,64,False,1,0
342,535,2023-06-15,weather_related,clear,True,1151.91,13,True,0,0
343,536,2023-02-04,rear_end,clear,False,2021.89,2,False,0,0
344,537,2023-08-21,rear_end,snow,False,3280.01,70,True,0,0
345,537,2023-04-22,rear_end,snow,False,429.27,21,True,1,0
346,540,2024-01-14,rear_end,clear,True,12811.87,3,True,0,0
347,541,2021-12-04,theft,clear,False,1744.51,14,True,0,1
348,541,2022-02-13,rear_end,clear,False,2746.06,5,False,1,0
349,541,2021-08-05,weather_related,clear,False,3707.61,11,True,2,0
350,542,2023-08-15,side_collision,clear,True,3867.98,10,False,0,0
351,544,2024-08-25,side_collision,rain,True,2015.27,5,True,0,0
352,545,2024-03-31,single_vehicle,rain,False,5372.29,5,True,0,0
353,548,2025-08-23,rear_end,clear,False,1741.28,3,True,0,0
354,551,2022-12-03,rear_end,rain,False,3048.11,2,False,0,0
355,554,2026-03-01,weather_related,rain,False,1701.67,4,True,0,0
356,556,2023-03-11,side_collision,snow,False,4133.71,25,True,0,0
357,557,2021-11-20,side_collision,rain,False,3692.47,4,True,0,1
358,558,2024-11-20,single_vehicle,clear,True,2541.3,5,True,0,0
359,559,2023-06-13,theft,rain,False,3973.09,5,True,0,0
360,563,2025-12-26,weather_related,rain,False,4255.7,1,True,0,0
361,564,2024-12-21,weather_related,rain,False,896.77,3,True,0,0
362,564,2026-03-02,weather_related,clear,False,2568.79,9,False,1,0
363,565,2026-01-22,rear_end,rain,False,7639.8,8,True,0,1
364,566,2024-08-19,rear_end,clear,False,1085.2,7,False,0,1
365,566,2025-01-25,single_vehicle,rain,False,2189.47,1,True,1,0
366,567,2025-10-10,rear_end,clear,False,614.38,9,True,0,0
367,568,2024-12-09,weather_related,clear,False,1424.09,23,True,0,0
368,570,2024-01-18,weather_related,rain,False,6386.32,3,True,0,0
369,575,2024-01-14,weather_related,clear,False,251.25,6,True,0,0
370,576,2023-08-03,weather_related,rain,False,15998.85,76,False,0,0
371,577,2025-08-22,weather_related,snow,False,4653.29,10,True,0,0
372,579,2023-02-13,rear_end,clear,False,1289.99,7,False,0,0
373,580,2022-05-12,rear_end,clear,True,4288.53,4,True,0,0
374,580,2022-04-29,rear_end,clear,False,9666.08,50,True,1,0
375,580,2022-09-11,theft,clear,True,4618.22,14,True,2,0
376,580,2022-11-25,side_collision,rain,False,1396.59,8,True,3,0
377,583,2023-04-06,weather_related,rain,False,4633.03,7,True,0,0
378,584,2023-12-18,single_vehicle,clear,False,1702.79,12,True,0,0
379,584,2024-10-05,single_vehicle,clear,False,3700.37,2,True,1,0
380,585,2025-05-02,rear_end,clear,False,3240.56,7,True,0,0
381,587,2025-02-15,side_collision,clear,True,11216.89,10,True,0,1
382,587,2024-09-13,side_collision,clear,False,5468.81,39,True,1,0
383,587,2024-12-25,weather_related,rain,True,3706.26,11,True,2,0
384,591,2024-10-16,rear_end,rain,False,4437.2,5,True,0,0
385,592,2025-03-28,single_vehicle,snow,False,1074.71,14,True,0,0
386,593,2024-07-21,side_collision,clear,False,3303.32,7,True,0,0
387,595,2024-03-18,single_vehicle,clear,False,6816.62,3,True,0,0
388,595,2023-05-14,rear_end,rain,True,5691.48,7,True,1,0
389,597,2025-07-31,weather_related,rain,False,3438.36,9,True,0,0
390,598,2025-10-02,single_vehicle,rain,False,4046.95,13,True,0,0
391,600,2025-11-24,theft,rain,True,6025.01,2,True,0,0
392,601,2023-01-19,rear_end,rain,True,6926.9,13,True,0,0
393,603,2023-01-24,single_vehicle,clear,False,1723.07,2,True,0,0
394,604,2025-02-26,weather_related,rain,False,2933.17,26,True,0,0
395,604,2024-10-07,rear_end,rain,False,679.65,8,True,1,0
396,604,2024-11-29,rear_end,rain,False,3482.48,25,True,2,0
397,605,2023-08-15,rear_end,rain,False,1769.23,19,False,0,0
398,607,2024-05-07,single_vehicle,rain,False,4684.59,3,True,0,0
399,609,2021-06-08,rear_end,rain,True,4092.3,17,True,0,0
400,610,2023-12-31,rear_end,storm,False,417.74,7,False,0,0
401,613,2024-02-09,single_vehicle,clear,False,3808.59,8,True,0,1
402,617,2022-01-17,weather_related,rain,False,3828.26,13,True,0,0
403,617,2022-05-02,rear_end,clear,True,6787.63,14,True,1,0
404,618,2025-01-24,rear_end,clear,False,3612.01,7,True,0,0
405,621,2026-02-22,rear_end,clear,False,4114.67,6,False,0,0
406,621,2026-01-13,side_collision,rain,False,1263.62,7,False,1,0
407,622,2024-11-01,weather_related,snow,False,1839.11,51,False,0,0
