policy_id,customer_id,policy_start_date,policy_duration_months,vehicle_type,vehicle_power,vehicle_age,annual_mileage,coverage_type,deductible_amount,annual_premium
67,43,2025-10-13,24,SUV,155.0,6,17186,basic,851.0,1551.29
68,44,2021-09-17,12,city_car,80.2,2,6240,full,593.0,1269.5
69,44,2022-11-26,24,sports_car,200.6,12,11119,basic,865.0,1630.84
70,45,2023-10-11,12,city_car,110.0,10,14306,full,511.0,1543.7
71,45,2021-09-01,12,sedan,142.3,5,7601,basic,858.0,1317.28
72,46,2022-04-22,12,sedan,130.5,11,13632,basic,761.0,1555.54
73,47,2023-09-08,36,SUV,128.3,7,18990,basic,906.0,1240.95
74,47,2024-08-11,24,city_car,109.8,11,11574,premium,413.0,1434.24
75,48,2025-07-31,12,sports_car,224.6,3,15646,full,569.0,2154.13
76,49,2021-08-02,12,SUV,142.6,7,18920,full,747.0,1492.31
77,50,2025-07-20,12,city_car,62.7,8,13120,full,568.0,1181.37
78,51,2021-07-31,24,SUV,188.3,7,17698,premium,643.0,1803.25
79,51,2025-04-16,12,city_car,88.5,8,10230,premium,482.0,1389.98
80,52,2022-04-15,12,SUV,128.4,8,13094,basic,774.0,1326.92
81,53,2022-06-13,24,sports_car,275.9,6,16640,premium,479.0,2248.87
82,53,2022-10-01,12,city_car,66.2,2,14606,full,801.0,1218.35
83,54,2024-12-15,24,electric,140.5,3,5000,full,702.0,1480.94
84,55,2021-04-11,12,city_car,102.6,9,13600,premium,200.0,1232.96
85,55,2023-07-27,12,sports_car,297.2,3,14247,premium,456.0,2300.23
86,56,2023-08-25,12,city_car,77.9,9,15314,premium,447.0,1225.29
87,57,2024-07-06,12,sports_car,246.3,6,13670,full,322.0,2191.68
88,58,2023-07-05,12,sports_car,239.6,15,8884,basic,1181.0,2120.14
89,58,2022-09-25,12,city_car,86.8,8,14388,full,531.0,1391.13
90,59,2026-02-25,12,city_car,82.6,6,23370,premium,530.0,1183.93
91,60,2023-12-05,24,sports_car,180.8,7,7333,basic,1189.0,1441.07
92,61,2022-08-08,24,SUV,137.6,10,9926,basic,843.0,1433.79
93,61,2022-10-22,12,sports_car,196.4,10,8980,basic,802.0,1718.15
94,62,2025-10-30,36,electric,138.2,4,12061,basic,885.0,1323.43
95,62,2023-11-14,24,SUV,178.7,5,14317,full,624.0,1846.04
96,63,2023-11-16,24,sedan,108.5,6,15982,basic,719.0,1206.37
97,63,2021-03-05,12,sedan,131.3,6,8112,premium,383.0,1288.3
98,64,2022-08-15,12,sedan,150.1,3,9666,basic,783.0,1439.94
99,65,2022-01-28,12,city_car,90.0,4,19857,full,861.0,1222.66
100,66,2024-06-07,36,sedan,137.0,7,14139,basic,831.0,1456.2
101,66,2023-05-30,12,sedan,110.1,11,10792,basic,726.0,1268.39
102,67,2023-10-25,12,sports_car,214.6,8,21583,full,414.0,1980.0
103,67,2023-10-26,24,SUV,143.8,7,17095,full,628.0,1795.71
104,68,2024-09-12,12,SUV,163.1,3,13192,basic,1087.0,1481.23
105,68,2025-06-23,12,city_car,92.1,11,7606,full,663.0,1360.27
106,69,2024-01-21,36,sedan,112.4,12,13268,basic,1028.0,1312.85
107,69,2023-01-23,12,sedan,104.2,11,18531,premium,340.0,1427.02
108,70,2024-04-21,36,SUV,162.0,15,9123,full,634.0,1659.68
109,71,2021-09-02,12,city_car,51.4,5,11769,basic,877.0,883.29
110,72,2022-07-07,12,city_car,92.8,3,11408,full,532.0,1489.7
111,72,2024-03-02,12,SUV,180.6,5,17747,basic,848.0,1690.16
112,73,2024-12-22,36,sedan,110.2,7,12830,basic,1134.0,1255.77
113,74,2022-10-12,12,city_car,87.2,3,14695,full,589.0,1437.02
114,74,2022-06-17,12,SUV,199.1,3,15103,full,543.0,1978.89
115,75,2025-03-28,12,SUV,110.0,3,13711,full,642.0,1428.98
116,75,2023-08-04,12,electric,125.4,10,10852,premium,200.0,1521.72
117,76,2023-01-04,12,city_car,90.9,12,9796,premium,317.0,1321.53
118,76,2021-04-21,36,sedan,103.0,6,13850,full,556.0,1419.55
119,77,2025-12-11,12,SUV,204.9,10,12602,full,544.0,1707.48
120,78,2022-07-06,12,sedan,156.0,3,9361,full,752.0,1706.28
121,79,2022-12-19,12,city_car,74.2,5,13213,full,509.0,1344.23
122,79,2025-10-03,24,city_car,66.0,6,11414,basic,1055.0,848.62
123,80,2022-04-05,12,city_car,90.4,2,11342,premium,339.0,1338.79
124,80,2025-06-20,12,sedan,150.2,4,9617,basic,937.0,1513.64
125,81,2021-03-10,24,sedan,121.3,11,18866,premium,556.0,1414.24
126,82,2025-07-30,36,city_car,87.4,15,14014,full,434.0,1364.72
127,82,2022-07-03,36,city_car,74.8,5,8833,full,519.0,1308.05
128,83,2021-09-03,12,city_car,79.6,6,10873,premium,380.0,1073.81
129,83,2023-12-31,12,city_car,75.0,12,20393,basic,1125.0,912.2
130,84,2021-12-26,36,sports_car,230.0,4,18781,basic,1189.0,1919.75
131,84,2025-09-07,12,sports_car,235.8,9,19188,premium,318.0,1852.11
132,85,2021-12-10,24,city_car,65.4,7,15922,full,865.0,1038.26
133,85,2021-08-25,12,SUV,134.4,4,13785,full,797.0,1531.5
134,86,2021-08-08,12,SUV,217.6,3,8278,basic,921.0,1865.25
135,86,2023-04-17,36,sedan,112.9,3,14005,full,313.0,1401.93
136,87,2025-11-28,12,sedan,144.7,5,12517,full,548.0,1501.11
137,88,2021-05-21,12,sedan,131.4,7,16068,full,662.0,1561.18
138,89,2024-09-14,12,electric,113.9,6,8759,basic,1023.0,1268.22
139,89,2025-08-08,12,electric,122.1,8,17258,basic,975.0,1334.61
140,90,2024-06-12,24,sedan,136.9,4,6957,premium,457.0,1461.02
141,90,2022-03-08,24,SUV,138.2,4,13272,full,644.0,1612.98
142,91,2024-10-17,24,SUV,159.6,8,5000,full,660.0,1712.35
143,92,2021-11-10,24,city_car,56.4,3,9686,premium,249.0,1033.33
144,93,2021-04-28,12,sports_car,277.3,3,10975,premium,399.0,2033.94
145,93,2026-01-27,12,city_car,54.0,3,12943,basic,850.0,1080.13
146,94,2023-09-29,24,electric,142.1,4,17667,full,541.0,1778.32
147,95,2021-07-18,12,SUV,176.6,12,8991,basic,674.0,1604.62
148,96,2023-12-27,12,sedan,135.1,4,18361,basic,1022.0,1294.49
149,96,2023-02-10,12,SUV,150.2,8,17026,basic,766.0,1480.12
150,97,2023-02-08,24,electric,116.5,2,18677,basic,1085.0,1373.73
151,98,2021-04-15,12,sedan,138.6,5,14284,full,791.0,1669.73
152,98,2024-05-30,36,city_car,91.7,4,5000,basic,841.0,1203.85
153,99,2026-01-21,12,city_car,56.2,1,9112,full,526.0,1135.89
154,100,2022-01-30,12,city_car,80.2,11,12552,basic,816.0,1053.82
155,100,2022-08-26,24,city_car,65.4,6,13081,full,671.0,1347.82
156,101,2025-10-30,12,sedan,87.1,13,14949,basic,780.0,1103.11
157,101,2025-10-14,24,city_car,82.9,8,16009,full,339.0,1165.89
158,102,2026-01-13,12,city_car,78.7,10,11796,basic,769.0,1200.12
159,102,2025-10-01,12,sedan,132.6,12,13979,full,577.0,1634.18
160,103,2025-03-28,12,SUV,183.3,3,14855,full,631.0,1951.68
161,104,2025-07-10,12,electric,130.2,3,8704,premium,274.0,1666.1
162,104,2021-08-07,12,SUV,145.0,4,16343,full,488.0,1720.06
163,105,2023-04-27,12,sports_car,207.0,14,8185,basic,692.0,1677.75
164,106,2024-10-22,12,electric,172.2,7,13137,premium,350.0,1476.1
165,107,2021-05-15,12,sedan,124.1,4,16501,premium,421.0,1421.28
166,108,2023-06-07,36,SUV,149.4,9,9944,full,470.0,1540.58
167,109,2025-06-21,24,SUV,154.6,5,15145,full,682.0,1885.81
168,110,2021-09-07,12,electric,148.3,10,15946,premium,219.0,1439.12
169,111,2026-01-23,12,city_car,70.6,7,22790,basic,888.0,1112.56
170,112,2023-05-09,24,sports_car,271.3,5,17619,full,427.0,2444.32
171,112,2023-12-12,36,sedan,92.9,1,11069,premium,297.0,1162.16
172,113,2025-06-11,12,sports_car,232.8,2,11647,premium,397.0,2112.79
173,113,2021-10-17,36,electric,123.0,1,6707,full,548.0,1545.79
174,114,2025-10-23,24,sedan,106.1,4,16437,basic,917.0,1335.85
175,114,2022-03-11,24,city_car,93.2,11,11159,premium,224.0,1247.31
176,115,2023-09-09,24,sports_car,239.0,1,16513,premium,496.0,1966.12
177,116,2025-08-20,12,SUV,161.4,6,11767,basic,899.0,1265.79
178,116,2022-04-21,12,city_car,78.1,4,14754,basic,903.0,1132.87
179,117,2024-05-19,12,SUV,166.3,3,13090,full,598.0,1837.84
180,117,2025-07-07,12,city_car,89.4,12,11708,basic,862.0,1248.81
181,118,2026-02-06,12,electric,162.8,2,17993,basic,915.0,1421.0
182,118,2023-12-14,24,sedan,111.0,3,13117,basic,806.0,1187.9
183,119,2025-11-13,12,sports_car,215.2,6,14597,full,610.0,2005.3
184,120,2025-12-04,36,sedan,100.4,10,14591,full,645.0,1154.31
185,120,2022-12-16,12,city_car,99.9,2,13153,basic,1080.0,1298.83
186,121,2025-12-20,12,sedan,126.9,5,15334,premium,241.0,1539.42
187,121,2021-03-19,12,city_car,86.6,4,5766,basic,847.0,1072.58
188,122,2022-07-08,36,SUV,152.3,10,12940,basic,959.0,1448.86
189,123,2021-04-10,12,city_car,72.6,9,14083,basic,987.0,1007.6
190,123,2022-02-06,12,sports_car,227.9,3,10793,basic,707.0,1899.22
191,124,2024-07-05,24,electric,126.7,3,18412,premium,506.0,1454.36
192,124,2022-12-22,12,sports_car,263.4,7,15680,full,655.0,2179.32
193,125,2025-06-17,12,city_car,89.5,9,9720,basic,771.0,1083.5
194,126,2023-07-13,12,city_car,90.9,10,14360,basic,794.0,1213.48
195,126,2023-09-25,36,SUV,159.1,3,12604,full,597.0,1653.19
196,127,2025-02-07,24,city_car,84.9,15,18024,premium,444.0,1291.35
197,127,2023-08-26,36,city_car,91.5,4,11691,basic,967.0,1284.3
198,128,2024-06-27,12,sedan,80.0,5,13320,basic,936.0,893.63
199,128,2024-10-13,12,sports_car,277.7,1,14421,basic,915.0,2080.91
200,129,2022-10-02,12,sedan,103.7,4,13467,full,643.0,1470.14
201,129,2022-01-25,12,SUV,175.3,3,18170,basic,798.0,1536.81
202,130,2023-08-05,12,sports_car,239.3,7,12862,basic,1063.0,1766.82
203,130,2023-05-25,12,city_car,70.9,7,15522,full,636.0,1195.38
204,131,2025-10-13,36,sedan,117.8,7,9287,full,724.0,1534.65
205,131,2024-03-30,12,SUV,179.9,6,17586,basic,952.0,1617.66
206,132,2024-08-03,24,city_car,73.8,5,13154,full,664.0,1306.45
207,132,2023-09-20,24,city_car,91.7,8,9040,basic,1037.0,1348.27
208,133,2025-01-20,12,city_car,86.5,1,12953,basic,1016.0,1198.25
209,133,2024-10-19,12,sedan,107.2,6,12951,basic,778.0,1281.29
210,134,2021-03-16,36,SUV,119.4,6,8624,premium,392.0,1599.29
211,135,2022-10-07,12,electric,117.4,3,13004,basic,855.0,1149.7
212,135,2021-09-14,12,sedan,80.0,6,16230,basic,942.0,993.73
213,136,2024-07-25,12,city_car,77.8,4,13126,basic,709.0,1068.35
214,136,2025-08-19,12,sedan,127.5,6,17363,premium,394.0,1353.67
215,137,2023-02-07,24,sports_car,322.1,3,18201,premium,475.0,2392.24
216,138,2026-01-22,36,sports_car,229.8,7,9683,premium,310.0,1945.45
217,138,2023-07-11,12,SUV,151.7,4,14746,basic,876.0,1518.32
218,139,2021-09-05,12,sedan,130.5,8,13809,basic,848.0,1442.05
219,139,2024-04-07,24,SUV,154.0,5,8256,basic,872.0,1530.18
220,140,2025-04-15,36,sports_car,230.5,2,15447,full,625.0,1954.3
221,141,2023-08-06,24,sedan,103.4,5,16654,basic,877.0,1194.78
222,142,2021-08-29,12,SUV,191.2,9,9240,basic,1028.0,1745.25
223,142,2022-12-08,36,SUV,136.1,12,11815,basic,1220.0,1225.34
224,143,2025-07-07,12,city_car,62.7,5,10290,full,532.0,1252.13
225,143,2024-08-27,36,SUV,186.9,6,5801,basic,758.0,1675.01
226,144,2024-05-26,24,city_car,70.2,3,10099,full,568.0,1379.47
227,145,2023-09-01,12,sedan,124.9,3,20786,basic,760.0,1256.22
228,145,2022-03-28,24,city_car,85.2,6,13955,basic,901.0,1135.83
229,146,2025-02-07,12,electric,136.6,4,12216,full,704.0,1529.32
230,147,2022-10-11,12,city_car,74.5,7,8181,premium,466.0,1089.72
231,147,2025-05-21,12,SUV,191.8,4,14107,premium,406.0,1684.95
232,148,2025-10-05,36,electric,160.6,6,10634,basic,763.0,1482.15
233,149,2025-01-12,12,sedan,127.5,12,9911,full,654.0,1326.41
234,149,2025-06-11,12,city_car,98.3,6,13770,full,331.0,1439.34
235,150,2023-07-17,24,SUV,174.4,10,14333,basic,621.0,1668.97
236,150,2021-03-05,24,city_car,78.8,8,11595,full,601.0,1298.73
237,151,2022-08-06,12,SUV,151.0,6,8838,basic,905.0,1556.21
238,152,2022-05-11,12,city_car,52.9,4,12064,full,498.0,1024.23
239,152,2024-11-17,12,SUV,121.6,11,11994,basic,759.0,1423.77
240,153,2023-08-26,12,electric,141.1,5,12774,basic,1013.0,1330.51
241,153,2025-07-04,12,city_car,62.7,5,5000,full,493.0,1098.87
242,154,2022-04-18,24,city_car,58.0,2,15486,full,434.0,1216.38
243,154,2022-12-16,12,SUV,148.0,2,13135,full,906.0,1633.89
244,155,2022-07-04,24,city_car,67.7,3,7300,basic,838.0,1079.5
245,155,2025-05-12,36,city_car,82.8,3,15037,full,545.0,1434.91
246,156,2024-11-13,24,sedan,107.9,6,16197,full,548.0,1706.67
247,157,2024-07-29,12,SUV,121.5,6,16233,basic,1147.0,1406.1
248,157,2021-07-30,36,sports_car,202.6,6,10208,basic,639.0,1634.52
249,158,2021-12-25,12,city_car,88.9,8,13340,full,846.0,1484.18
250,158,2024-03-23,36,SUV,162.8,3,16171,basic,767.0,1581.29
251,159,2024-01-08,12,city_car,88.1,3,15446,full,698.0,1295.09
252,159,2021-08-12,12,electric,157.8,3,9872,basic,956.0,1495.56
253,160,2024-06-09,24,city_car,102.1,8,12550,basic,873.0,1051.28
254,161,2024-09-06,36,electric,139.6,8,15343,basic,960.0,1487.12
255,161,2022-06-14,24,city_car,93.1,8,11581,full,606.0,1342.32
256,162,2023-07-27,12,sedan,135.1,1,9961,full,611.0,1561.23
257,162,2026-02-10,36,sedan,88.9,11,11950,basic,904.0,1318.59
258,163,2022-05-05,36,sports_car,314.3,11,19193,full,547.0,2524.75
259,163,2023-02-11,12,electric,130.8,8,11714,basic,857.0,1513.6
260,164,2024-09-26,12,sedan,131.5,7,5972,full,523.0,1564.85
261,164,2025-04-12,12,city_car,73.8,10,8662,basic,764.0,1089.6
262,165,2024-04-20,36,city_car,81.6,6,11806,full,506.0,1310.61
263,166,2025-07-23,12,city_car,79.4,8,16147,full,418.0,1409.98
264,166,2024-09-10,12,sedan,94.9,5,9487,basic,593.0,1291.44
265,167,2024-11-09,36,electric,128.0,6,12059,basic,867.0,1360.2
266,167,2024-05-31,36,city_car,83.4,4,11609,full,491.0,1432.12
267,168,2022-05-04,12,city_car,85.5,1,10627,basic,878.0,1291.46
268,169,2024-07-04,12,city_car,74.6,5,12142,full,838.0,1361.17
269,170,2025-11-08,12,sports_car,260.1,8,18755,basic,793.0,2006.2
270,170,2022-05-16,24,electric,104.5,3,11324,basic,1006.0,1286.15
271,171,2024-12-25,12,sports_car,213.8,13,18942,premium,359.0,1979.33
272,172,2024-03-30,12,city_car,66.0,8,19156,full,476.0,1300.06
273,172,2023-04-23,12,SUV,134.0,12,11871,basic,699.0,1455.78
274,173,2021-10-15,12,sedan,121.3,4,10565,full,701.0,1601.82
275,174,2025-06-13,12,city_car,92.1,7,14253,full,569.0,1335.23
276,175,2023-10-04,24,sedan,87.8,12,26810,basic,870.0,1111.37
277,176,2026-03-01,12,sports_car,308.5,7,11518,basic,825.0,2462.03
278,176,2024-08-18,12,sports_car,258.1,6,18703,full,703.0,2106.43
279,177,2026-01-28,12,electric,145.6,7,11820,full,732.0,1560.52
280,177,2024-10-03,12,city_car,76.5,10,9720,full,483.0,1232.19
281,178,2025-04-01,24,sedan,137.1,1,20720,basic,1007.0,1315.14
282,179,2022-12-23,12,city_car,57.2,5,13389,basic,760.0,949.54
283,179,2024-09-23,36,city_car,77.4,1,12064,basic,999.0,1060.75
284,180,2024-02-08,12,electric,168.2,6,13146,basic,876.0,1730.06
285,180,2023-01-29,12,sedan,87.9,4,13945,basic,968.0,1062.52
286,181,2021-04-28,24,sedan,115.5,5,11348,basic,714.0,1256.72
287,181,2025-05-10,12,sports_car,273.9,3,12539,premium,485.0,2212.95
288,182,2024-09-18,24,city_car,83.8,3,10445,premium,362.0,1199.9
289,182,2024-10-12,12,SUV,175.3,4,16375,full,671.0,1805.46
290,183,2021-08-22,36,city_car,76.8,6,7427,basic,903.0,1084.27
291,184,2025-11-14,24,city_car,77.1,8,12367,full,644.0,1201.57
292,185,2024-03-17,12,sedan,142.9,8,13593,full,301.0,1627.21
293,186,2022-05-02,12,city_car,63.0,3,8072,premium,471.0,1081.13
294,186,2025-03-18,12,sports_car,292.7,6,14131,basic,957.0,2131.97
295,187,2022-09-17,36,SUV,171.3,9,16594,basic,576.0,1442.49
296,188,2022-12-04,24,city_car,86.2,5,10206,full,467.0,1399.62
297,189,2021-11-09,36,city_car,76.0,4,12645,premium,468.0,1050.02
298,189,2024-11-05,12,city_car,83.4,10,9079,premium,404.0,1251.69
299,190,2022-01-15,12,electric,130.9,13,13765,basic,603.0,1174.67
300,190,2022-01-07,12,sedan,175.5,4,15619,full,500.0,1618.23
301,191,2022-11-13,36,sports_car,285.8,7,15294,full,728.0,2263.75
302,191,2021-05-19,36,SUV,178.8,5,10496,premium,442.0,1657.14
303,192,2023-06-26,12,electric,180.2,6,10617,basic,693.0,1682.27
304,192,2022-01-31,24,sports_car,276.4,6,13090,basic,971.0,2239.19
305,193,2023-05-05,12,sedan,94.1,3,14331,basic,676.0,1020.48
306,193,2025-08-07,12,SUV,146.0,7,14656,basic,881.0,1321.24
307,194,2024-01-17,12,SUV,137.8,7,9767,basic,1024.0,1249.76
308,195,2021-11-12,12,city_car,55.6,10,10586,full,420.0,1125.05
309,196,2021-08-23,12,city_car,87.0,3,8965,premium,408.0,1155.57
310,197,2023-10-19,36,city_car,69.7,2,14651,basic,775.0,995.52
311,198,2025-02-25,12,sedan,98.3,15,9379,premium,323.0,1187.31
312,198,2021-09-26,24,sedan,115.1,2,12267,full,805.0,1488.2
313,199,2022-02-04,24,sedan,109.4,6,9578,premium,411.0,1332.07
314,199,2024-10-20,12,SUV,171.8,3,12718,full,573.0,1877.83
315,200,2024-03-11,36,city_car,99.9,13,16311,basic,1159.0,1197.49
316,200,2024-03-28,12,sedan,155.6,14,13378,full,364.0,1639.84
317,201,2021-09-13,12,city_car,66.1,15,12727,basic,1003.0,1076.09
318,202,2023-08-13,24,SUV,115.3,4,14195,full,541.0,1440.32
319,203,2021-08-02,24,SUV,140.5,5,16503,full,602.0,1855.4
320,203,2023-09-04,12,SUV,125.2,6,13987,basic,1083.0,1295.73
321,204,2022-04-03,12,city_car,81.4,5,11213,basic,958.0,1080.15
322,204,2025-10-30,24,sports_car,267.8,5,14876,premium,371.0,2069.01
323,205,2023-12-16,36,city_car,94.8,10,13639,basic,661.0,1286.98
324,206,2021-10-26,12,electric,149.0,6,11612,full,631.0,1654.53
325,207,2024-07-22,12,sedan,103.9,6,10108,full,877.0,1436.72
326,207,2025-07-11,12,sedan,82.3,11,6332,basic,1054.0,1130.64
327,208,2024-01-19,12,sedan,125.2,4,20663,basic,947.0,1194.01
328,209,2024-01-02,12,SUV,179.5,6,6669,full,686.0,1736.48
329,210,2023-11-15,36,sedan,101.0,3,18895,full,417.0,1259.81
330,210,2025-01-10,12,city_car,109.1,4,10545,full,340.0,1392.02
331,211,2022-04-10,12,city_car,95.8,5,20568,full,659.0,1369.91
332,211,2025-02-14,12,sedan,94.8,11,14867,full,443.0,1320.53
333,212,2022-08-10,12,sports_car,268.9,6,12568,premium,399.0,2137.6
334,212,2025-08-08,36,electric,142.0,9,5923,premium,400.0,1344.08
335,213,2023-10-25,12,sedan,111.0,2,13522,premium,441.0,1356.19
336,213,2024-02-11,12,electric,141.4,6,15648,full,583.0,1449.62
337,214,2023-07-28,12,city_car,70.7,4,10324,basic,634.0,937.51
338,215,2024-05-31,24,SUV,160.8,1,12901,premium,324.0,1565.0
339,216,2023-12-22,12,sedan,122.7,5,20820,basic,871.0,1493.12
340,216,2025-12-11,24,SUV,164.4,6,18845,full,582.0,1778.17
341,217,2023-04-24,24,city_car,84.5,3,11929,basic,955.0,1123.95
342,218,2021-08-20,36,sedan,102.5,3,14602,full,693.0,1320.0
343,219,2025-07-16,12,sedan,149.9,7,11286,full,538.0,1637.7
344,220,2024-11-11,12,SUV,160.4,4,19235,basic,834.0,1570.97
345,220,2021-05-03,36,city_car,64.3,6,15252,basic,749.0,1139.57
346,221,2021-05-25,12,sedan,118.7,6,14626,full,489.0,1646.13
347,221,2023-03-14,24,SUV,154.4,5,14385,basic,1084.0,1649.22
348,222,2025-01-23,36,sedan,131.0,15,18138,full,333.0,1566.31
349,223,2025-11-25,12,sedan,107.8,9,9534,full,736.0,1485.31
350,224,2022-09-10,36,city_car,92.6,15,16939,full,499.0,1338.54
351,224,2024-09-10,24,SUV,156.6,2,15344,basic,862.0,1379.22
352,225,2024-07-07,36,sedan,128.6,3,17302,premium,334.0,1475.41
353,225,2024-01-14,12,electric,172.0,8,14824,full,567.0,1791.71
354,226,2023-05-19,36,sedan,125.7,2,15514,premium,380.0,1414.72
355,227,2021-10-20,24,sedan,116.8,6,14846,premium,321.0,1303.45
356,228,2024-12-19,12,SUV,141.4,8,11253,basic,933.0,1498.49
357,228,2021-08-31,12,city_car,86.0,10,11782,basic,960.0,1051.45
358,229,2022-10-06,12,electric,90.0,7,16004,basic,850.0,1409.39
359,230,2022-12-22,24,sedan,116.4,3,16259,basic,899.0,1305.91
360,231,2021-10-18,12,sedan,155.6,8,17543,premium,499.0,1700.62
361,231,2023-10-23,12,sports_car,299.7,5,17544,basic,1059.0,2150.74
362,232,2024-03-20,12,city_car,75.9,3,10677,basic,1104.0,1231.95
363,232,2022-12-11,12,sports_car,254.9,7,14602,basic,977.0,1997.14
364,233,2021-03-16,12,SUV,163.4,7,14046,basic,1068.0,1544.39
365,233,2023-05-17,12,city_car,65.9,3,13376,basic,897.0,1290.13
366,234,2024-07-01,12,sports_car,228.8,2,6995,basic,891.0,1815.95
367,235,2024-07-26,24,SUV,167.4,3,8948,basic,997.0,1591.53
